accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7653105020127872,0.3770535949099912,0.36583553009559794,0.34625886292624036,0.7296096086502075,135136,1,0.2096872182844354
0.8242289249348804,0.5452533312471655,0.5393034284816343,0.5229374440445349,0.7831642627716064,135136,10,0.1164635419845581
0.8427584063461994,0.5750817196101553,0.5618691352011969,0.5468424511234403,0.8041130900382996,135136,20,0.10332174722453673
0.8499215605020128,0.5991520160844611,0.5863932402422858,0.5838967695305184,0.8128387928009033,135136,30,0.09334711537515517
0.8537399360644092,0.6175068626755297,0.6220484363357451,0.6050881944221936,0.8192796111106873,135136,40,0.08920825299599187
0.8608586905043808,0.6362028331687564,0.6172093252178584,0.6221323482162898,0.81928551197052,135136,50,0.08659138096322258
0.8656760596732181,0.628664081341013,0.6403135074753462,0.6245057603965147,0.8173434138298035,135136,60,0.08442207801041843
0.8685398413450154,0.6381691249555157,0.6513086661667548,0.6385528761204291,0.8233982920646667,135136,70,0.08259806315675913
0.8684658418186124,0.6539345879921553,0.6449879417940375,0.6440340604009679,0.8365775942802429,135136,80,0.08128954159270088
0.8718032204593891,0.6585021733186964,0.6438673144932058,0.6427154768957475,0.8345612287521362,135136,90,0.08001975441793743
0.8735570092351409,0.6648176479084953,0.6355502904905072,0.6441487866980335,0.8313618302345276,135136,100,0.07881303731914904
