accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7320621468926554,0.10458030669895077,0.14285714285714285,0.12075814587434909,0.6166821718215942,7080,1,0.40179772675037384
0.7320621468926554,0.10458030669895077,0.14285714285714285,0.12075814587434909,0.6764336228370667,7080,2,0.25981480032205584
0.7320621468926554,0.10458030669895077,0.14285714285714285,0.12075814587434909,0.6849758625030518,7080,3,0.24917886704206466
0.7309322033898306,0.15335803333848608,0.14465658924190938,0.12545797383006685,0.69138503074646,7080,4,0.2409687414765358
0.7324858757062147,0.14370408202633408,0.14391014391014392,0.12291714505746155,0.6838635206222534,7080,5,0.23039055615663528
0.7508474576271187,0.2705477817010135,0.18339548245008402,0.1884316112072358,0.6844788789749146,7080,6,0.22090875804424287
0.7584745762711864,0.31802234405337065,0.23013461240705704,0.24966188027371028,0.6888022422790527,7080,7,0.2085749998688698
0.7637005649717514,0.4356227284930201,0.30077495242530833,0.31968804023595704,0.7169157266616821,7080,8,0.20035233348608017
0.7648305084745762,0.4158729893750559,0.3804840740447532,0.3638308588193243,0.6915075182914734,7080,9,0.1921451836824417
0.7709039548022599,0.4052148288250134,0.37199961692748895,0.3670995611950283,0.7402387857437134,7080,10,0.18719222396612167
