run,label,model,accuracy,precision_macro,recall_macro,f1_macro,targets,sample_stride
training_outputs_clean300_full_contact_epoch100,model18 full-contact,FullContactMapDSSPModel,0.8430306007860753,0.631074327370234,0.5903231601523714,0.58709183364365,28496,500
training_outputs_clean300_model19_epoch100_stride500,model19 proxy-window,Model19DSSPModel,0.8314851207186974,0.5572542791992519,0.5508741472298412,0.5471676631188636,28496,500
training_outputs_clean300_epoch100_stride500,model18 MLP baseline,MLPFrameResidue,0.809727681078046,0.5780855702690156,0.551350419806265,0.5566700146955302,28496,500
