accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7751614261650758,0.4575180143989713,0.39943614315800113,0.388864410476855,0.8047422170639038,28496,1,0.7252745497971773
0.7980067377877597,0.5683610364911058,0.5221653608750279,0.4999079418098778,0.8149523735046387,28496,10,0.47507482301443815
0.8054112857944975,0.6013217122398874,0.49330866778314897,0.5049183757885486,0.8229396939277649,28496,20,0.447819821536541
0.8048848961257721,0.5936073968305285,0.49174788385374846,0.5126580084184845,0.8277269601821899,28496,30,0.430786388926208
0.8060078607523863,0.5815993519493913,0.5126020779731296,0.526548047883759,0.8329723477363586,28496,40,0.4159885086119175
0.7992700729927007,0.5697112227455854,0.4876597676694314,0.5134283201113873,0.8351679444313049,28496,50,0.4013391863554716
0.8011299831555306,0.5548970166518051,0.5148548405030103,0.5239751812322954,0.8345551490783691,28496,60,0.38772207126021385
0.8026740595171252,0.5666428637803775,0.5077310900143585,0.5288428995352871,0.8424040079116821,28496,70,0.37514272052794695
0.7975856260527794,0.5635118150209657,0.49453380261494306,0.5144881479586443,0.8405960202217102,28496,80,0.36580599192529917
0.7986033127456486,0.5578144236239037,0.5109084325304755,0.5189827115380838,0.8535690307617188,28496,90,0.35410646721720695
0.7966381246490736,0.5485389959243635,0.5073871808868106,0.5232214225179891,0.855018675327301,28496,100,0.34299434442073107
