rank,group,run_id,frame_index,time_ps,length,frame_dssp,contact_row_sum_mean,dist_row_mean_A,rg_A,end_to_end_A,mean_pair_dist_A,contact_density_8A,contact_density_12A,ca_dist_i_i5_mean_A,ca_dist_i_i10_mean_A,pseudo_dihedral_mean,pseudo_dihedral_std,dssp_position_score,dssp_composition_score,geometry_score,contact_score,total_score
1,Q36,Q36_v2,22000,220000.0,36,SSSISSTTTSSSSSSSSSSSSSSSSSSSSSSSSSSS,5.722222222222222,14.236389973649274,11.112001735534635,12.175436470746254,14.643143971392853,0.1634920634920635,0.3714285714285714,12.517574278295095,17.667849144958737,-1.329411653194883,1.7177341265820922,0.9166666666666666,0.9722222222222222,0.8382822598524844,0.8673000655859636,0.9099420140846488
2,Q36,Q36_v2,39000,390000.0,36,SSSISSTTTSSSSSSSSSSSSSSSSSSSSSSSSSSS,5.722222222222222,14.255688734628539,11.117330031833175,12.155596208971946,14.662994138337348,0.1634920634920635,0.3682539682539683,12.524341465958932,17.670358014755006,-1.3333045864800646,1.731894923540756,0.9166666666666666,0.9722222222222222,0.825014509014453,0.8673000655859636,0.9072884639170424
3,Q36,Q36_v2,15000,150000.0,36,SSSISSTTTSSSSSSSSSSSSSSSSSSSSSSSSSSS,5.722222222222222,14.221399796597751,11.091929231333635,12.095497304936176,14.627725506184184,0.1634920634920635,0.3698412698412698,12.527825640403655,17.664945954652076,-1.3308942038119809,1.7454105811335976,0.9166666666666666,0.9722222222222222,0.8146685166131029,0.8673000655859636,0.9052192654367726
4,Q36,Q36_v2,40000,400000.0,36,SSSISSTTTSSSSSSSSSSSSSSSSSSSSSSSSSSS,5.722222222222222,14.21603689075988,11.089947146610834,12.087108368803184,14.622209383773368,0.1634920634920635,0.3698412698412698,12.520984999183913,17.66639567848808,-1.326341290872308,1.7443872622361576,0.9166666666666666,0.9722222222222222,0.7994267796638658,0.8673000655859636,0.9021709180469251
5,Q36,Q36_v2,39500,395000.0,36,SSSISSTTTSSSSSSSSSSSSSSSSSSSSSSSSSSS,5.722222222222222,14.247916192184258,11.117174199503252,12.2339379244747,14.654999528249697,0.1634920634920635,0.373015873015873,12.506444715199732,17.68416142363747,-1.3309061681002334,1.7175139735374514,0.9166666666666666,0.9722222222222222,0.7878782717144898,0.8673000655859636,0.8998612164570499
