accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.8027690622780014,0.5262236612005456,0.49118576759593996,0.4930516363813736,0.8130671977996826,135136,1,0.5388661514449593
0.8167327729102534,0.5749685324416951,0.5023955586841578,0.5210208158312909,0.8361634016036987,135136,10,0.4120611418161961
0.818871359223301,0.5751345267620142,0.5293656465196245,0.5429212385041235,0.838744044303894,135136,20,0.39027887641988845
0.8201219512195121,0.5771209339858961,0.537922437830886,0.5471942067617569,0.8381693363189697,135136,30,0.37530189594685637
0.8189749585602653,0.5697655397126059,0.5337923746105074,0.5461122660003234,0.8423604369163513,135136,40,0.36460961253437774
0.8177539663746152,0.5583834884818409,0.542136522399354,0.5435054522194727,0.8483695387840271,135136,50,0.35697639935853465
0.8165699739521667,0.5601547133662663,0.5283645239607306,0.5390787170224607,0.8502097725868225,135136,60,0.3503828062521701
0.8166735732891309,0.5604314888176803,0.5383411740526304,0.545582928226516,0.8492677211761475,135136,70,0.34522989194914205
0.8169325716315415,0.5701616750331933,0.5200710631691815,0.5383517553166127,0.8532357215881348,135136,80,0.3415667576505648
0.815600580156287,0.5586214762101298,0.5282322278019121,0.535829894867281,0.8584291338920593,135136,90,0.33669698613368915
0.8161555766043097,0.558398369215047,0.5315160077350981,0.5386705892804481,0.8588155508041382,135136,100,0.3352762612680726
