accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7853382930937676,0.4632841749177957,0.478708528051732,0.4531380344450479,0.8087786436080933,28496,1,0.7013885974884033
0.8128509264458169,0.5902655603247954,0.5502774627861466,0.5611213524844659,0.8556088209152222,28496,50,0.35172730684280396
0.809727681078046,0.5780855702690156,0.551350419806265,0.5566700146955302,0.8793396949768066,28496,100,0.2851906018331647
0.8050954519932623,0.5656427746267242,0.5467778151400252,0.5499688942763123,0.8909218907356262,28496,150,0.2491141832433641
0.8041830432341381,0.5570060874981112,0.5410061218664854,0.5440715085621018,0.9010449051856995,28496,200,0.22652562940493226
0.8035513756316676,0.5544913000835657,0.5383849157640958,0.5425802260225879,0.9028797149658203,28496,250,0.21458466164767742
0.8001473891072431,0.5470123134689946,0.5383435100788597,0.5378056897685627,0.9056767225265503,28496,300,0.20645721536129713
0.8032004491858507,0.550199467808204,0.5396141795089415,0.5398184658016738,0.9106642603874207,28496,350,0.19583599222823977
0.8021476698483998,0.5532088615470144,0.540393324254967,0.5422100215096713,0.9111700057983398,28496,400,0.19068681728094816
0.8001824817518248,0.5471505392474516,0.5435266884852593,0.5419481064055601,0.9159967303276062,28496,450,0.18277951329946518
0.8008492419988771,0.5467804235231474,0.5416533447414558,0.5400436097452246,0.9156066179275513,28496,500,0.1808474324643612
