accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7259615384615384,0.23714540361599187,0.18180226400642602,0.16954823680770076,0.726538360118866,28496,1,0.8604598846286535
0.7863910724312184,0.4819576960174225,0.4629273597024555,0.4507144119771022,0.7897791862487793,28496,10,0.5431994274258614
0.8011650758001123,0.5402478252178374,0.5018028465746968,0.4968444469975625,0.8074644804000854,28496,20,0.481730405241251
0.8025336889387984,0.5695694019351705,0.5027097873386491,0.5127124246716707,0.8258079290390015,28496,30,0.44844014570116997
0.8079730488489613,0.5662405133200795,0.5379111690850114,0.5355512611221249,0.830809473991394,28496,40,0.42638339567929506
0.8080783267827063,0.5698266420503958,0.5257991356177353,0.5359879219783908,0.8450502157211304,28496,50,0.4025710755959153
0.8096574957888827,0.5713496289377836,0.5335885200486384,0.5388625704500513,0.8444740772247314,28496,60,0.3845356134697795
0.8086047164514317,0.573007929683672,0.5278315007910214,0.5357766545464929,0.8477866053581238,28496,70,0.37121403217315674
0.8099733295901179,0.5646611773760993,0.5436342801922922,0.5464437409166668,0.8533424139022827,28496,80,0.35661235731095076
0.8086749017405952,0.5708318957112573,0.5413836178550863,0.5496567424995938,0.8609433174133301,28496,90,0.345334661193192
0.808464345873105,0.565461634530113,0.5308640705891842,0.5412250208398232,0.859630286693573,28496,100,0.33469406608492136
