accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7268037619314992,0.10382910884735704,0.14285714285714285,0.12025582887452134,0.6714639067649841,28496,1,0.28188717514276507
0.7840749578888265,0.5189984982946968,0.5181918792504198,0.4556458873878301,0.7341366410255432,28496,10,0.14718780269225437
0.7969539584503088,0.5665790543561631,0.5403972135766696,0.4891861493428939,0.7515188455581665,28496,20,0.13344990958770117
0.8111664795058956,0.5748878885741571,0.5441568863621774,0.5115344046674298,0.7727052569389343,28496,30,0.12436417390902837
0.8180446378439079,0.577479331918127,0.5502249861543463,0.530761084002519,0.7788679599761963,28496,40,0.11953283300002417
0.8227470522178552,0.5940040200354654,0.5676695992490879,0.5467534336877329,0.7824118137359619,28496,50,0.11405275538563728
0.8293444693992139,0.5953165801581249,0.5605675167919092,0.5587868554214268,0.787049412727356,28496,60,0.11115657712022463
0.8315553060078608,0.5986991868183885,0.5752477632697369,0.5673763070326807,0.7921842932701111,28496,70,0.10897444660464922
0.8315202133632791,0.5955366996887037,0.5772708583225591,0.5542711366888179,0.800524890422821,28496,80,0.10641361847519874
0.8396967995508141,0.6268279783693413,0.5813628871653831,0.575166414433838,0.7963166236877441,28496,90,0.10372196808457375
0.8430306007860753,0.631074327370234,0.5903231601523714,0.58709183364365,0.8025057911872864,28496,100,0.10034469117720922
