accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7822501403705783,0.45440158640927863,0.46486659167759553,0.4408018030775744,0.8007398247718811,28496,1,0.7384627033025026
0.8118332397529477,0.6082011534301907,0.5295700974272702,0.5304821215515212,0.8320339918136597,28496,10,0.43986454512923956
0.8156232453677709,0.6191813957217823,0.5199026538122391,0.5398470866475894,0.8377593159675598,28496,20,0.4096020767465234
0.8172725996631106,0.6015223583679522,0.56456971773738,0.5653006105011328,0.845417320728302,28496,30,0.38805091101676226
0.8179393599101629,0.6059788627145849,0.5558990212422639,0.5648152251749864,0.8576759099960327,28496,40,0.37067712750285864
0.8160443571027512,0.5992622195542544,0.5683924430704852,0.5692477045944352,0.853912889957428,28496,50,0.35235522873699665
0.8137282425603594,0.5914761823781512,0.5512937399350859,0.5637628380454208,0.8563302755355835,28496,60,0.3365047872066498
0.8133773161145423,0.5838292560403081,0.5518283087188518,0.5542060154301571,0.8668015003204346,28496,70,0.3205009764060378
0.8117279618192027,0.5801036341569493,0.5624975718885603,0.5649902755951597,0.8676007986068726,28496,80,0.3064384497702122
0.8141844469399214,0.5848808214446023,0.5419818795301873,0.5566997502957948,0.8748350739479065,28496,90,0.29571649245917797
0.8110261089275688,0.5752145947089271,0.5595310616507817,0.561330046317397,0.875885009765625,28496,100,0.2840154366567731
