accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7268037619314992,0.10382910884735704,0.14285714285714285,0.12025582887452134,0.700712263584137,28496,1,0.29995055894056954
0.7877245929253228,0.5608009825795738,0.4690678053506429,0.44875947017081724,0.7558175921440125,28496,10,0.14506764858961105
0.8016212801796744,0.5437424911133409,0.5142022881400673,0.5128068012644265,0.7623538374900818,28496,20,0.1295619212090969
0.8101487928130264,0.5607691340864613,0.5249403976084335,0.5200645553501164,0.7748405337333679,28496,30,0.12035911306738853
0.8176586187535093,0.5586253315022819,0.5296869826608895,0.530786649119473,0.7861577868461609,28496,40,0.11432882299025854
0.8201151038742279,0.5577835520130392,0.5368703131707692,0.5286298090858076,0.7927637696266174,28496,50,0.10742907449603081
0.822536496350365,0.5541691990114425,0.5290710403117449,0.5360946171920474,0.8062722682952881,28496,60,0.10213233903050423
0.8240454800673779,0.5529043392845392,0.5279670794225789,0.5326933390869094,0.8120783567428589,28496,70,0.09730663845936458
0.8275547445255474,0.5580404537328352,0.5431168117603854,0.5447650795481277,0.8022543787956238,28496,80,0.09361561809976895
0.8287478944413251,0.5617311751897793,0.5313065288536972,0.5411335046713509,0.8291056156158447,28496,90,0.08895986750721932
0.8314851207186974,0.5572542791992519,0.5508741472298412,0.5471676631188636,0.8222049474716187,28496,100,0.08727864573399226
