accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,train_loss
0.7821448624368332,0.4558208474116032,0.42781145575257185,0.4187960350917697,0.798637330532074,28496,1,0.7277548816055059
0.8070255474452555,0.5993922118949181,0.5058031083646181,0.5036838993618633,0.8199705481529236,28496,10,0.4612201079726219
0.8130614823133071,0.5966555648925447,0.5207113216765441,0.5210560298838234,0.8318048715591431,28496,20,0.4325803220272064
0.8129562043795621,0.5723475329383796,0.5326429757290928,0.5304162577379071,0.8336900472640991,28496,30,0.4107840424403548
0.8135527793374508,0.5754957510160403,0.5390828443820582,0.5412709504450625,0.8372645974159241,28496,40,0.3945789495483041
0.8120087029758563,0.5705752346726822,0.5176469141749028,0.5299747260260411,0.843467652797699,28496,50,0.37844292540103197
0.8125,0.5664672197404751,0.5289927916252115,0.5388599188635756,0.8485190272331238,28496,60,0.36416089441627264
0.8143950028074116,0.5627778511470133,0.5424966782840075,0.5456455163361109,0.8540716767311096,28496,70,0.35180721152573824
0.808464345873105,0.5558067774500618,0.5194152817117357,0.5275201069621477,0.8581719994544983,28496,80,0.338713351637125
0.8069904548006738,0.5443509724016166,0.5174661637939518,0.5242317314610505,0.8598746657371521,28496,90,0.32840943429619074
0.807657215047726,0.5562608583707049,0.5189409986426646,0.5325882703035546,0.8649592399597168,28496,100,0.3197740884497762
